assessment_name,description,test_type,url
Entry Level Customer Service 7.1 (Americas),Entry Level Customer Service 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Entry Level Customer Service 7.1 (International),Entry Level Customer Service 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/
Entry Level Customer Service 7.1 (South Africa),Entry Level Customer Service 7.1 (South Africa) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Entry level Sales 7.1 (Americas),Entry level Sales 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/
Entry level Sales 7.1 (International),Entry level Sales 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,Entry Level Sales Sift Out 7.1 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Event Sales Manager Solution,Event Sales Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/
Executive - Short Form,Executive - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/
Financial Professional - Short Form,Financial Professional - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/
Financial Services Representative Solution,Financial Services Representative Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/
Front Desk Associate Solution,Front Desk Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/
Gaming Associate Solution,Gaming Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/
Gaming Manager Solution,Gaming Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/
General Entry Level - All Industries 7.0 Solution,General Entry Level - All Industries 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
General Entry Level - All Industries 7.1 Solution,General Entry Level - All Industries 7.1 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/
General Entry Level - All Industries 7.1(Americas),General Entry Level - All Industries 7.1(Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/
General Entry Level – Data Entry 7.0 Solution,General Entry Level – Data Entry 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Graduate + 8.0 Job Focused Assessment,Graduate + 8.0 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/
Graduate 7.1 Job Focused Assessment,Graduate 7.1 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/
Graduate 8.0 Job Focused Assessment,Graduate 8.0 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Guest Service Team 7.0 Solution,Guest Service Team 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/
HiPo Assessment Report 1.0,HiPo Assessment Report 1.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/
HiPo Assessment Report 2.0,HiPo Assessment Report 2.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/
HiPo Unlocking Potential Report 2.0,HiPo Unlocking Potential Report 2.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/
Housekeeping (New),Housekeeping (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/
HTML/CSS (New),HTML/CSS (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/
HTML5 (New),HTML5 (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/html5-new/
Human Resources (New),Human Resources (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/
IBM DataStage (New),IBM DataStage (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/
IBM Sterling Order Management System (New),IBM Sterling Order Management System (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/
Industrial Engineering (New),Industrial Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/
Informatica (Architecture) (New),Informatica (Architecture) (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/
Informatica (Developer) (New),Informatica (Developer) (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/
Claims/Operations Supervisor Solution,Claims/Operations Supervisor Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/
Contact Center Customer Service + 8.0,Contact Center Customer Service + 8.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/
Contact Center Customer Service 8.0,Contact Center Customer Service 8.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/
Contact Center Manager - Short Form,Contact Center Manager - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/
Contact Center Sales & Service + 8.0,Contact Center Sales & Service + 8.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/
Contact Center Sales & Service 8.0,Contact Center Sales & Service 8.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/
Contact Center Team Lead/Coach - Short Form,Contact Center Team Lead/Coach - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/
Contact Centre Agent Solution - UK,Contact Centre Agent Solution - UK assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/
Customer Service - Short Form,Customer Service - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/
Customer Service - Short Form - UK,Customer Service - Short Form - UK assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/
Customer Service with Sales - Short Form,Customer Service with Sales - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/
Director - Short Form,Director - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/
Manager + 7.1 (Americas),Manager + 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/
Manager + 7.1 (International),Manager + 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/
Manager 7.0 Solution,Manager 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/
Manager 7.1 (Americas),Manager 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/
Manager 7.1 (International),Manager 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/
Manager 8.0 JFA,Manager 8.0 JFA assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/
Manager 8.0+ JFA,Manager 8.0+ JFA assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
Manufacturing Production Team Member,Manufacturing Production Team Member assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/
Manufacturing Skilled Maintenance Worker,Manufacturing Skilled Maintenance Worker assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
Network Engineer/Analyst Solution,Network Engineer/Analyst Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/
Nurse Leader Solution,Nurse Leader Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/
Nurse Solution,Nurse Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/
Nursing Assistant Solution,Nursing Assistant Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/
Personal Banker - Short Form,Personal Banker - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/
Phone Banker - Short Form,Phone Banker - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/
Prep/Line Cook Solution,Prep/Line Cook Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/
Professional + 7.0 Solution,Professional + 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
Professional + 7.1 (Americas),Professional + 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/
Professional + 7.1 (International),Professional + 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/
Professional 7.0 Solution,Professional 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/
Professional 7.1 (International),Professional 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/
Professional 8.0 JFA,Professional 8.0 JFA assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/
Professional/Individual Contributor - Short Form,Professional/Individual Contributor - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/
Project Manager - Short Form,Project Manager - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/
Proof Operator - Processing Specialist -Short Form,Proof Operator - Processing Specialist -Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Reservation Agent Solution,Reservation Agent Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Restaurant Manager Solution,Restaurant Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Restaurant Supervisor Solution,Restaurant Supervisor Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Retail Consultant Solution,Retail Consultant Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Retail Manager w/ Sales Solution,Retail Manager w/ Sales Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Sales Associate Solution,Retail Sales Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Sales Director Solution,Sales Director Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
Sales Engineer Solution,Sales Engineer Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Manager Solution,Sales Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Professional 7.0 Solution,Sales Professional 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Professional 7.1 (Americas),Sales Professional 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Sales Professional Solution,Sales Professional Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/
Sales Representative Solution,Sales Representative Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
Sales Supervisor Solution,Sales Supervisor Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/
Sales Support Specialist Solution,Sales Support Specialist Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/
Senior Insurance Agent Solution,Senior Insurance Agent Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/
Senior Sales Professional Solution,Senior Sales Professional Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/
Server Solution,Server Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/server-solution/
Service Associate Solution,Service Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/
Service Supervisor Solution,Service Supervisor Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/
Stock Clerk Solution,Stock Clerk Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/
Store Manager 7.0 Solution,Store Manager 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/
Store Manager 7.1 (Americas),Store Manager 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/
Store Manager 7.1 (International),Store Manager 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/
Store Manager Solution,Store Manager Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/
Supervisor - Short Form,Supervisor - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/
Supervisor 7.0 Solution,Supervisor 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/
Supervisor 7.1 (Americas),Supervisor 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/
Supervisor 7.1 (International),Supervisor 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/
Support Associate Solution,Support Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/
Support Supervisor Solution,Support Supervisor Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/
Technical Sales Associate Solution,Technical Sales Associate Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
Technician/Technologist Solution,Technician/Technologist Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/
Technology Professional 8.0 Job Focused Assessment,Technology Professional 8.0 Job Focused Assessment assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Telenurse Solution,Telenurse Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/
Teller 7.0,Teller 7.0 assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/
Teller with Sales - Short Form,Teller with Sales - Short Form assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/
Transcriptionist Solution,Transcriptionist Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/
Workplace Safety - Individual 7.0 Solution,Workplace Safety - Individual 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/
Workplace Safety - Individual 7.1 (Americas),Workplace Safety - Individual 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/
Workplace Safety - Team 7.0 Solution,Workplace Safety - Team 7.0 Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/
Workplace Safety - Team 7.1 (Americas),Workplace Safety - Team 7.1 (Americas) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/
Workplace Safety - Team 7.1 (International),Workplace Safety - Team 7.1 (International) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/
Workplace Safety Solution,Workplace Safety Solution assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/
Adobe Experience Manager (New),Adobe Experience Manager (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/
Adobe Photoshop CC,Adobe Photoshop CC assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/
Aeronautical Engineering (New),Aeronautical Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/
Aerospace Engineering (New),Aerospace Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/
Agile Software Development,Agile Software Development assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/
Agile Testing (New),Agile Testing (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/
AI Skills,AI Skills assessment provided by SHL to evaluate relevant skills.,P,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/
Amazon Web Services (AWS) Development (New),Amazon Web Services (AWS) Development (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/
Android Development (New),Android Development (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/android-development-new/
Angular 6 (New),Angular 6 (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/
AngularJS (New),AngularJS (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/
Apache Hadoop (New),Apache Hadoop (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/
Oracle DBA (Advanced Level) (New),Oracle DBA (Advanced Level) (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/
Oracle DBA (Entry Level) (New),Oracle DBA (Entry Level) (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/
Oracle PL/SQL (New),Oracle PL/SQL (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/
Oracle WebLogic Server (New),Oracle WebLogic Server (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/
Organic Chemistry (New),Organic Chemistry (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/
Paint Technology (New),Paint Technology (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/
Pediatrics (New),Pediatrics (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/
Pega Development (New),Pega Development (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/
Perl (New),Perl (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/perl-new/
Petrochemical Engineering (New),Petrochemical Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/
Petroleum Engineering (New),Petroleum Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/
Pharmaceutical Analysis (New),Pharmaceutical Analysis (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/
Automata Data Science (New),Automata Data Science (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/
Automata Data Science Pro (New),Automata Data Science Pro (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/
Automata Front End,Automata Front End assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/
Automata Pro (New),Automata Pro (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/
Automata Selenium,Automata Selenium assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
Automation Anywhere RPA Development (New),Automation Anywhere RPA Development (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/
Automotive Engineering (New),Automotive Engineering (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/
Basic Biology (New),Basic Biology (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/
Basic Computer Literacy (Windows 10) (New),Basic Computer Literacy (Windows 10) (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/
Basic Statistics (New),Basic Statistics (New) assessment provided by SHL to evaluate relevant skills.,K,https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/
